Ref,Val,Package,PosX,PosY,Rot,Side
"C24","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.808000,-7.112000,-90.000000,top
"C35","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",11.049000,-24.612600,180.000000,top
"C36","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",138.992000,-26.464500,180.000000,top
"C37","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",138.992000,-29.718000,180.000000,top
"C38","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",138.992000,-32.512000,0.000000,top
"C51","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",129.667000,-4.064000,-90.000000,top
"D14","Orange,112mcd","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",154.762200,-3.378200,-90.000000,top
"D15","Green,100mcd","LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder",149.898100,-3.378200,-90.000000,top
"D16","Red,100mcd","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",145.034000,-3.378200,-90.000000,top
"M3","Pico_Display_Pack","DIP-40_W15.24mm_Socket",61.548000,-30.086277,90.000000,top
"Q6","Si2306BDS","SOT-23",31.140400,-40.462200,180.000000,top
"R23","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",69.977000,-5.969000,-90.000000,top
"R24","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",72.517000,-5.969000,-90.000000,top
"R25","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",10.541000,-7.010400,-90.000000,top
"R26","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",34.671000,-40.529000,90.000000,top
"R27","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.992000,-17.907000,0.000000,top
"R28","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.992000,-23.241000,0.000000,top
"R29","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.992000,-20.574000,0.000000,top
"R47","60R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",153.416000,-10.668000,180.000000,top
"R48","60R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",152.273000,-8.509000,180.000000,top
"R49","72R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",148.336000,-8.509000,180.000000,top
"R50","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",97.612200,-40.919400,0.000000,top
"R51","47k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.049000,-26.797000,0.000000,top
"SW1","STOP_SW","Schurter_SW_MTG_PUSH-12.7mm",3.302000,-10.160000,0.000000,top
"SW2","Rotary Enc EC11E","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_Inset",145.262600,-23.583900,0.000000,top
"U10","MCP23017_SO","SOIC-28W_7.5x17.9mm_P1.27mm",50.150953,-22.680000,180.000000,top
"U14","DS3231","SOIC-16W_7.5x10.3mm_P1.27mm",122.047000,-7.874000,90.000000,top
