"Qnty","Ext Qnty","Value","Part","Vendor","Vendor SKU","Vendor Cost","Line Cost","Ext Cost"
"1","2","Lith 3V","Battery_Cell","Mouser","534-500","1.23","1.230","2.460","BT2, "
"1","2","Buzzer","Buzzer","","","","","","BZ1, "
"1","4","10uF","C_Small","Mouser","187-CL21A106KOQNNNE","0.084","0.084","0.336","C1, "
"28","58","0.1uF","C_Small","Mouser","187-CL21B104KACNNND","0.027","0.756","1.566","C2, C3, C5, C8, C12, C14, C15, C16, C18, C19, C21, C22, C23, C24, C26, C27, C28, C36, C37, C38, C43, C44, C45, C46, C47, C48, C50, C51, "
"8","18","1uF","C_Small","Mouser","963-EMK212BJ105KG-T","0.016","0.128","0.288","C4, C6, C7, C9, C10, C13, C35, C49, "
"1","4","22uF","C_Small","Mouser","187-CL21A226MQQNNNG","0.115","0.115","0.460","C11, "
"1","4","10nF,50V","C_Small","Mouser","80-C0805C103J5R","0.077","0.077","0.308","C17, "
"4","8","22uF,25V","C_Small","Mouser","187-CL21A226MAQNNNE","0.25","1.000","2.000","C20, C40, C41, C42, "
"1","4","4.7uF,50V","C_Small","Mouser","187-CL21A475KBQNNNE","0.2","0.200","0.800","C25, "
"3","10","4.7uF,25V","C_Small","Mouser","187-CL21A475KAQNNNG","0.092","0.276","0.920","C29, C32, C33, "
"2","4","47uF","C_Small","Mouser","598-476KXM050M","0.269","0.538","1.076","C30, C31, "
"1","3","47uF","C_Small","Mouser","187-CL31A476MQHNNNE","0.262","0.262","0.786","C34, "
"1","4","2nF, 50V","C_Small","Mouser","187-CL21B202KBANNNC","0.077","0.077","0.308","C39, "
"1","2","220uF, 50V","C_Polarized_Small","Mouser","647-UPM1H221MHD6TO","0.653","0.653","1.306","CP1, "
"2","4","470uF,25V","C_Polarized_Small","Mouser","80-ESW477M025AH2AA","0.382","0.764","1.528","CP2, CP7, "
"1","2","470uF, 50V","C_Polarized_Small","Mouser","647-UPJ1H471MHD6","0.913","0.913","1.826","CP3, "
